name1,name2,date,case_day_minus_0,case_day_minus_1,case_day_minus_2,case_day_minus_3,case_day_minus_4,case_day_minus_5,case_day_minus_6,case_day_minus_7,case_day_minus_8,case_day_minus_9
Adygea_Republic__Russia,XXX,2020.06.25,1682,1647,1607,1569,1541,1511,1484,1446,1415,1389
Adygea_Republic__Russia,XXX,2020.06.24,1647,1607,1569,1541,1511,1484,1446,1415,1389,1340
Adygea_Republic__Russia,XXX,2020.06.23,1607,1569,1541,1511,1484,1446,1415,1389,1340,1311
Adygea_Republic__Russia,XXX,2020.06.22,1569,1541,1511,1484,1446,1415,1389,1340,1311,1278
Adygea_Republic__Russia,XXX,2020.06.21,1541,1511,1484,1446,1415,1389,1340,1311,1278,1251
Adygea_Republic__Russia,XXX,2020.06.20,1511,1484,1446,1415,1389,1340,1311,1278,1251,1213
Adygea_Republic__Russia,XXX,2020.06.19,1484,1446,1415,1389,1340,1311,1278,1251,1213,1158
Adygea_Republic__Russia,XXX,2020.06.18,1446,1415,1389,1340,1311,1278,1251,1213,1158,1115
Adygea_Republic__Russia,XXX,2020.06.17,1415,1389,1340,1311,1278,1251,1213,1158,1115,1069
Adygea_Republic__Russia,XXX,2020.06.16,1389,1340,1311,1278,1251,1213,1158,1115,1069,1025
Adygea_Republic__Russia,XXX,2020.06.15,1340,1311,1278,1251,1213,1158,1115,1069,1025,995
Adygea_Republic__Russia,XXX,2020.06.14,1311,1278,1251,1213,1158,1115,1069,1025,995,962
Adygea_Republic__Russia,XXX,2020.06.13,1278,1251,1213,1158,1115,1069,1025,995,962,937
Adygea_Republic__Russia,XXX,2020.06.12,1251,1213,1158,1115,1069,1025,995,962,937,904
Adygea_Republic__Russia,XXX,2020.06.11,1213,1158,1115,1069,1025,995,962,937,904,890
Adygea_Republic__Russia,XXX,2020.06.10,1158,1115,1069,1025,995,962,937,904,890,874
Adygea_Republic__Russia,XXX,2020.06.09,1115,1069,1025,995,962,937,904,890,874,854
Adygea_Republic__Russia,XXX,2020.06.08,1069,1025,995,962,937,904,890,874,854,813
Adygea_Republic__Russia,XXX,2020.06.07,1025,995,962,937,904,890,874,854,813,794
Adygea_Republic__Russia,XXX,2020.06.06,995,962,937,904,890,874,854,813,794,783
Adygea_Republic__Russia,XXX,2020.06.05,962,937,904,890,874,854,813,794,783,759
Adygea_Republic__Russia,XXX,2020.06.04,937,904,890,874,854,813,794,783,759,721
Adygea_Republic__Russia,XXX,2020.06.03,904,890,874,854,813,794,783,759,721,696
Adygea_Republic__Russia,XXX,2020.06.02,890,874,854,813,794,783,759,721,696,671
Adygea_Republic__Russia,XXX,2020.06.01,874,854,813,794,783,759,721,696,671,622
Adygea_Republic__Russia,XXX,2020.05.31,854,813,794,783,759,721,696,671,622,591
Adygea_Republic__Russia,XXX,2020.05.30,813,794,783,759,721,696,671,622,591,561
Adygea_Republic__Russia,XXX,2020.05.29,794,783,759,721,696,671,622,591,561,525
Adygea_Republic__Russia,XXX,2020.05.28,783,759,721,696,671,622,591,561,525,461
Adygea_Republic__Russia,XXX,2020.05.27,759,721,696,671,622,591,561,525,461,430
Adygea_Republic__Russia,XXX,2020.05.26,721,696,671,622,591,561,525,461,430,398
Adygea_Republic__Russia,XXX,2020.05.25,696,671,622,591,561,525,461,430,398,347
Adygea_Republic__Russia,XXX,2020.05.24,671,622,591,561,525,461,430,398,347,307
Adygea_Republic__Russia,XXX,2020.05.23,622,591,561,525,461,430,398,347,307,276
Adygea_Republic__Russia,XXX,2020.05.22,591,561,525,461,430,398,347,307,276,271
Adygea_Republic__Russia,XXX,2020.05.21,561,525,461,430,398,347,307,276,271,252
Adygea_Republic__Russia,XXX,2020.05.20,525,461,430,398,347,307,276,271,252,241
Adygea_Republic__Russia,XXX,2020.05.19,461,430,398,347,307,276,271,252,241,224
Adygea_Republic__Russia,XXX,2020.05.18,430,398,347,307,276,271,252,241,224,220
Adygea_Republic__Russia,XXX,2020.05.17,398,347,307,276,271,252,241,224,220,212
Adygea_Republic__Russia,XXX,2020.05.16,347,307,276,271,252,241,224,220,212,206
Adygea_Republic__Russia,XXX,2020.05.15,307,276,271,252,241,224,220,212,206,202
Adygea_Republic__Russia,XXX,2020.05.14,276,271,252,241,224,220,212,206,202,190
Adygea_Republic__Russia,XXX,2020.05.13,271,252,241,224,220,212,206,202,190,185
Adygea_Republic__Russia,XXX,2020.05.12,252,241,224,220,212,206,202,190,185,178
Adygea_Republic__Russia,XXX,2020.05.11,241,224,220,212,206,202,190,185,178,168
Adygea_Republic__Russia,XXX,2020.05.10,224,220,212,206,202,190,185,178,168,165
Adygea_Republic__Russia,XXX,2020.05.09,220,212,206,202,190,185,178,168,165,163
Adygea_Republic__Russia,XXX,2020.05.08,212,206,202,190,185,178,168,165,163,154
Adygea_Republic__Russia,XXX,2020.05.07,206,202,190,185,178,168,165,163,154,150
Adygea_Republic__Russia,XXX,2020.05.06,202,190,185,178,168,165,163,154,150,142
Adygea_Republic__Russia,XXX,2020.05.05,190,185,178,168,165,163,154,150,142,134
Adygea_Republic__Russia,XXX,2020.05.04,185,178,168,165,163,154,150,142,134,119
Adygea_Republic__Russia,XXX,2020.05.03,178,168,165,163,154,150,142,134,119,117
Adygea_Republic__Russia,XXX,2020.05.02,168,165,163,154,150,142,134,119,117,114
Adygea_Republic__Russia,XXX,2020.05.01,165,163,154,150,142,134,119,117,114,113
Adygea_Republic__Russia,XXX,2020.04.30,163,154,150,142,134,119,117,114,113,108
Adygea_Republic__Russia,XXX,2020.04.29,154,150,142,134,119,117,114,113,108,100
Adygea_Republic__Russia,XXX,2020.04.28,150,142,134,119,117,114,113,108,100,91
Adygea_Republic__Russia,XXX,2020.04.27,142,134,119,117,114,113,108,100,91,84
Adygea_Republic__Russia,XXX,2020.04.26,134,119,117,114,113,108,100,91,84,79
Adygea_Republic__Russia,XXX,2020.04.25,119,117,114,113,108,100,91,84,79,43
Adygea_Republic__Russia,XXX,2020.04.24,117,114,113,108,100,91,84,79,43,27
Adygea_Republic__Russia,XXX,2020.04.23,114,113,108,100,91,84,79,43,27,27
Adygea_Republic__Russia,XXX,2020.04.22,113,108,100,91,84,79,43,27,27,20
Adygea_Republic__Russia,XXX,2020.04.21,108,100,91,84,79,43,27,27,20,20
Adygea_Republic__Russia,XXX,2020.04.20,100,91,84,79,43,27,27,20,20,20
Adygea_Republic__Russia,XXX,2020.04.19,91,84,79,43,27,27,20,20,20,20
Adygea_Republic__Russia,XXX,2020.04.18,84,79,43,27,27,20,20,20,20,13
Adygea_Republic__Russia,XXX,2020.04.17,79,43,27,27,20,20,20,20,13,13
Adygea_Republic__Russia,XXX,2020.04.16,43,27,27,20,20,20,20,13,13,13
Adygea_Republic__Russia,XXX,2020.04.15,27,27,20,20,20,20,13,13,13,13
Adygea_Republic__Russia,XXX,2020.04.14,27,20,20,20,20,13,13,13,13,7
Adygea_Republic__Russia,XXX,2020.04.13,20,20,20,20,13,13,13,13,7,7
Adygea_Republic__Russia,XXX,2020.04.12,20,20,20,13,13,13,13,7,7,5
Adygea_Republic__Russia,XXX,2020.04.11,20,20,13,13,13,13,7,7,5,5
Adygea_Republic__Russia,XXX,2020.04.10,20,13,13,13,13,7,7,5,5,4
Adygea_Republic__Russia,XXX,2020.04.09,13,13,13,13,7,7,5,5,4,4
Adygea_Republic__Russia,XXX,2020.04.08,13,13,13,7,7,5,5,4,4,4
Adygea_Republic__Russia,XXX,2020.04.07,13,13,7,7,5,5,4,4,4,1
Adygea_Republic__Russia,XXX,2020.04.06,13,7,7,5,5,4,4,4,1,1
Adygea_Republic__Russia,XXX,2020.04.05,7,7,5,5,4,4,4,1,1,0
Adygea_Republic__Russia,XXX,2020.04.04,7,5,5,4,4,4,1,1,0,0
Adygea_Republic__Russia,XXX,2020.04.03,5,5,4,4,4,1,1,0,0,0
Adygea_Republic__Russia,XXX,2020.04.02,5,4,4,4,1,1,0,0,0,0
Adygea_Republic__Russia,XXX,2020.04.01,4,4,4,1,1,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.31,4,4,1,1,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.30,4,1,1,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.29,1,1,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.28,1,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.27,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.26,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.25,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.24,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.23,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.22,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.21,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.20,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.19,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.18,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.17,0,0,0,0,0,0,0,0,0,0
